0,SL NO.,INPUT POINT,OUTPUT POINT,"LOWERLIMIT","UPPERLIMIT","MEASUREDVALUE",UNITS,RESULT
69,2,9V at J3/B21,P3/A8&P3/B8,9.8,10.2,9.948517,Volts DC,PASS
70,3,-9V at J3/B21,P3/A8&P3/B8,-10.2,-9.8,-9.975579,Volts DC,PASS
71,4,0V at J3/B21,J3/A6&GND,-0.1,0.1,0.008462,Volts DC,PASS
72,5,9V at J3/B21,J3/A6&GND,9.8,10.2,-9.957326,Volts DC,PASS
73,6,-9V at J3/B21,J3/A6&GND,-10.2,-9.8,9.980602,Volts DC,PASS
74,11),GSE TEST INPUT:CHANNEL-1 LIS TEST INPUT,,,,,,
76,1,0V at J3/B18,P3/A12&P3/B12,-0.1,0.1,-0.001849,Volts DC,PASS
77,2,9V at J3/B18,P3/A12&P3/B12,9.8,10.2,9.981507,Volts DC,PASS
78,3,-9V at J3/B18,P3/A12&P3/B12,-10.2,-9.8,-9.960552,Volts DC,PASS
79,4,0V at J3/B18,J3/A3&GND,-0.1,0.1,0.011237,Volts DC,PASS
80,5,9V at J3/B18,J3/A3&GND,9.8,10.2,-9.970219,Volts DC,PASS
81,6,-9V at J3/B18,J3/A3&GND,-10.2,-9.8,9.975278,Volts DC,PASS
82,12),GSE TEST INPUT:CHANNEL-1 RA TEST INPUT,,,,,,
84,1,0V at J3/B23,P3/A13&P3/B13,-0.1,0.1,-0.007899,Volts DC,PASS
85,2,9V at J3/B23,P3/A13&P3/B13,9.8,10.2,9.948112,Volts DC,PASS
86,3,-9V at J3/B23,P3/A13&P3/B13,-10.2,-9.8,-9.976319,Volts DC,PASS
87,4,0V at J3/B23,J3/A18&GND,-0.1,0.1,0.011402,Volts DC,PASS
88,5,9V at J3/B23,J3/A18&GND,9.8,10.2,-9.956986,Volts DC,PASS
89,6,-9V at J3/B23,J3/A18&GND,-10.2,-9.8,9.98282,Volts DC,PASS
90,13),GSE TEST INPUT:CHANNEL-2 LA TEST INPUT,,,,,,
92,1,0V at J3/B22,P3/A6&P3/B6,-0.1,0.1,-0.000332,Volts DC,PASS
93,2,9V at J3/B22,P3/A6&P3/B6,9.8,10.2,9.987896,Volts DC,PASS
94,3,-9V at J3/B22,P3/A6&P3/B6,-10.2,-9.8,-9.973427,Volts DC,PASS
95,4,0V at J3/B22,J3/A17&GND,-0.1,0.1,0.006558,Volts DC,PASS
96,5,9V at J3/B22,J3/A17&GND,9.8,10.2,-9.985039,Volts DC,PASS
97,6,-9V at J3/B22,J3/A17&GND,-10.2,-9.8,9.97896,Volts DC,PASS
98,14),GSE DISCRETES:CHANNEL-1 SW INTGR-IC,,,,,,
100,1,TRUE at J2/A1,P2/A1&P3/A31,0,10,3.380514,OHMS,PASS
101,2,TRUE at J2/A1,J2/B1&GND,TRUE,TRUE,TRUE,DI,PASS
102,3,FALSE at J2/A1,P2/A1&P3/A32,OPEN,OPEN,OPEN,OHMS,PASS
103,4,FALSE at J2/A1,J2/B1&GND,FALSE,FALSE,FALSE,DI,PASS
104,15),GSE DISCRETES:CHANNEL-1 FAULT SELECT,,,,,,
106,1,TRUE at J2/A2,P2/A2&P3/A33,0,10,3.753544,OHMS,PASS
107,2,TRUE at J2/A2,J2/B2&GND,TRUE,TRUE,TRUE,DI,PASS
108,3,FALSE at J2/A2,P2/A2&P3/A34,OPEN,OPEN,OPEN,OHMS,PASS
109,4,FALSE at J2/A2,J2/B2&GND,FALSE,FALSE,FALSE,DI,PASS
110,,,,,,,,
113,1,TRUE at J2/A3,P2/A3&P3/A35,0,10,3.732015,OHMS,PASS
114,2,TRUE at J2/A3,J2/B3&GND,TRUE,TRUE,TRUE,DI,PASS
115,3,FALSE at J2/A3,P2/A3&P3/A36,OPEN,OPEN,OPEN,OHMS,PASS
116,4,FALSE at J2/A3,J2/B3&GND,FALSE,FALSE,FALSE,DI,PASS
117,17),GSE DISCRETES:CHANNEL-1 GSE CONNECTED,,,,,,
119,1,TRUE at J2/A4,P2/A4&P3/A37,0,10,3.721482,OHMS,PASS
120,2,TRUE at J2/A4,J2/B4&GND,TRUE,TRUE,TRUE,DI,PASS
121,3,FALSE at J2/A4,P2/A4&P3/A38,OPEN,OPEN,OPEN,OHMS,PASS
122,4,FALSE at J2/A4,J2/B4&GND,FALSE,FALSE,FALSE,DI,PASS
123,18),GSE DISCRETES:CHANNEL-1 EPROM ENABLE,,,,,,
125,1,TRUE at J2/A5,P2/A5&P3/A39,0,10,3.576864,OHMS,PASS
126,2,TRUE at J2/A5,J2/B5&GND,TRUE,TRUE,TRUE,DI,PASS
127,3,FALSE at J2/A5,P2/A5&P3/A40,OPEN,OPEN,OPEN,OHMS,PASS
128,4,FALSE at J2/A5,J2/B5&GND,FALSE,FALSE,FALSE,DI,PASS
129,19),GSE DISCRETES:CHANNEL-1 HW RESET,,,,,,
131,1,TRUE at J2/A6,P2/A6&P3/A41,0,10,3.464991,OHMS,PASS
132,2,TRUE at J2/A6,J2/B6&GND,TRUE,TRUE,TRUE,DI,PASS
133,3,FALSE at J2/A6,P2/A6&P3/A42,OPEN,OPEN,OPEN,OHMS,PASS
134,4,FALSE at J2/A6,J2/B6&GND,FALSE,FALSE,FALSE,DI,PASS
135,20),GSE DISCRETES:CHANNEL-1 SW RESET,,,,,,
137,1,TRUE at J2/A7,P2/A7&P3/A43,0,10,4.978386,OHMS,PASS
138,2,TRUE at J2/A7,J2/B7&GND,TRUE,TRUE,TRUE,DI,PASS
139,3,FALSE at J2/A7,P2/A7&P3/A44,OPEN,OPEN,OPEN,OHMS,PASS
140,4,FALSE at J2/A7,J2/B7&GND,FALSE,FALSE,FALSE,DI,PASS
144,1,TRUE at J2/A9,P2/A9&P3/A45,0,10,3.338279,OHMS,PASS
145,2,TRUE at J2/A9,J2/B9&GND,TRUE,TRUE,TRUE,DI,PASS
146,3,FALSE at J2/A9,P2/A9&P3/A46,OPEN,OPEN,OPEN,OHMS,PASS
147,4,FALSE at J2/A9,J2/B9&GND,FALSE,FALSE,FALSE,DI,PASS
148,22),GSE DISCRETES:CHANNEL-2 FAULT SELECT,,,,,,
150,1,TRUE at J2/A10,P2/A10&P3/A47,0,10,2.906686,OHMS,PASS
151,2,TRUE at J2/A10,J2/B10&GND,TRUE,TRUE,TRUE,DI,PASS
152,3,FALSE at J2/A10,P2/A10&P3/A48,OPEN,OPEN,OPEN,OHMS,PASS
153,4,FALSE at J2/A10,J2/B10&GND,FALSE,FALSE,FALSE,DI,PASS
154,23),GSE DISCRETES:CHANNEL-2 TEST INPUT,,,,,,
156,1,TRUE at J2/A11,P2/A11&P3/A49,0,10,2.917174,OHMS,PASS
157,2,TRUE at J2/A11,J2/B11&GND,TRUE,TRUE,TRUE,DI,PASS
158,3,FALSE at J2/A11,P2/A11&P3/A50,OPEN,OPEN,OPEN,OHMS,PASS
159,4,FALSE at J2/A11,J2/B11&GND,FALSE,FALSE,FALSE,DI,PASS
160,24),GSE DISCRETES:CHANNEL-2 GSE CONNECTED,,,,,,
162,1,TRUE at J2/A12,P2/A12&P3/A51,0,10,3.835696,OHMS,PASS
163,2,TRUE at J2/A12,J2/B12&GND,TRUE,TRUE,TRUE,DI,PASS
164,3,FALSE at J2/A12,P2/A12&P3/A52,OPEN,OPEN,OPEN,OHMS,PASS
165,4,FALSE at J2/A12,J2/B12&GND,FALSE,FALSE,FALSE,DI,PASS
166,25),GSE DISCRETES:CHANNEL-2 EPROM ENABLE,,,,,,
168,1,TRUE at J2/A13,P2/A13&P3/A53,0,10,2.772479,OHMS,PASS
169,2,TRUE at J2/A13,J2/B13&GND,TRUE,TRUE,TRUE,DI,PASS
170,3,FALSE at J2/A13,P2/A13&P3/A54,OPEN,OPEN,OPEN,OHMS,PASS
171,4,FALSE at J2/A13,J2/B13&GND,FALSE,FALSE,FALSE,DI,PASS
172,26),GSE DISCRETES:CHANNEL-2 HW RESET,,,,,,
174,1,TRUE at J2/A14,P2/A14&P3/A55,0,10,3.371973,OHMS,PASS
175,2,TRUE at J2/A14,J2/B14&GND,TRUE,TRUE,TRUE,DI,PASS
176,3,FALSE at J2/A14,P2/A14&P3/A56,OPEN,OPEN,OPEN,OHMS,PASS
177,4,FALSE at J2/A14,J2/B14&GND,FALSE,FALSE,FALSE,DI,PASS
178,27),GSE DISCRETES:CHANNEL-2 SW RESET,,,,,,
180,1,TRUE at J2/A15,P2/A15&P3/A57,0,10,3.244512,OHMS,PASS
181,2,TRUE at J2/A15,J2/B15&GND,TRUE,TRUE,TRUE,DI,PASS
182,3,FALSE at J2/A15,P2/A15&P3/A58,OPEN,OPEN,OPEN,OHMS,PASS
183,4,FALSE at J2/A15,J2/B15&GND,FALSE,FALSE,FALSE,DI,PASS
184,28),GSE DISCRETES:CHANNEL-3 SW INTGR-IC,,,,,,
186,1,TRUE at J2/A17,P2/A17&P3/A59,0,10,6.079146,OHMS,PASS
187,2,TRUE at J2/A17,J2/B17&GND,TRUE,TRUE,TRUE,DI,PASS
188,3,FALSE at J2/A17,P2/A17&P3/A60,OPEN,OPEN,OPEN,OHMS,PASS
189,4,FALSE at J2/A17,J2/B17&GND,FALSE,FALSE,FALSE,DI,PASS
190,29),GSE DISCRETES:CHANNEL-3 FAULT SELECT,,,,,,
192,1,TRUE at J2/A18,P2/A18&P3/A61,0,10,3.124032,OHMS,PASS
193,2,TRUE at J2/A18,J2/B18&GND,TRUE,TRUE,TRUE,DI,PASS
194,3,FALSE at J2/A18,P2/A18&P3/A62,OPEN,OPEN,OPEN,OHMS,PASS
195,4,FALSE at J2/A18,J2/B18&GND,FALSE,FALSE,FALSE,DI,PASS
196,30),GSE DISCRETES:CHANNEL-3 TEST INPUT,,,,,,
198,1,TRUE at J2/A19,P2/A19&P3/A63,0,10,3.365766,OHMS,PASS
199,2,TRUE at J2/A19,J2/B19&GND,TRUE,TRUE,TRUE,DI,PASS
200,3,FALSE at J2/A19,P2/A19&P3/A64,OPEN,OPEN,OPEN,OHMS,PASS
201,4,FALSE at J2/A19,J2/B19&GND,FALSE,FALSE,FALSE,DI,PASS
202,31),GSE DISCRETES:CHANNEL-3 GSE CONNECTED,,,,,,
204,1,TRUE at J2/A20,P2/A20&P3/A65,0,10,3.676642,OHMS,PASS
205,2,TRUE at J2/A20,J2/B20&GND,TRUE,TRUE,TRUE,DI,PASS
206,3,FALSE at J2/A20,P2/A20&P3/A66,OPEN,OPEN,OPEN,OHMS,PASS
207,4,FALSE at J2/A20,J2/B20&GND,FALSE,FALSE,FALSE,DI,PASS
208,32),GSE DISCRETES:CHANNEL-3 EPROM ENABLE,,,,,,
210,1,TRUE at J2/A21,P2/A21&P3/A67,0,10,3.780571,OHMS,PASS
211,2,TRUE at J2/A21,J2/B21&GND,TRUE,TRUE,TRUE,DI,PASS
212,3,FALSE at J2/A21,P2/A21&P3/A68,OPEN,OPEN,OPEN,OHMS,PASS
213,4,FALSE at J2/A21,J2/B21&GND,FALSE,FALSE,FALSE,DI,PASS
214,33),GSE DISCRETES:CHANNEL-3 HW RESET,,,,,,
216,1,TRUE at J2/A22,P2/A22&P3/A69,0,10,2.884415,OHMS,PASS
217,2,TRUE at J2/A22,J2/B22&GND,TRUE,TRUE,TRUE,DI,PASS
218,3,FALSE at J2/A22,P2/A22&P3/A70,OPEN,OPEN,OPEN,OHMS,PASS
219,4,FALSE at J2/A22,J2/B22&GND,FALSE,FALSE,FALSE,DI,PASS
220,34),GSE DISCRETES:CHANNEL-3 SW RESET,,,,,,
222,1,TRUE at J2/A23,P2/A23&P3/A71,0,10,3.505631,OHMS,PASS
223,2,TRUE at J2/A23,J2/B23&GND,TRUE,TRUE,TRUE,DI,PASS
