0,SL NO.,INPUT POINT,OUTPUT POINT,"LOWERLIMIT","UPPERLIMIT","MEASUREDVALUE",UNITS,RESULT
347,5,TRUE at J1/A14,at P3/B28,-0.1,0.1,-0.000012,mA,PASS
348,6,TRUE at J1/A14,at J2/C20,TRUE,TRUE,TRUE,DI,PASS
349,7,TRUE at J1/A14,at P3/B28,-0.1,0.1,0.000023,mA,PASS
350,8,TRUE at J1/A14,at J2/C20,FALSE,FALSE,FALSE,DI,PASS
351,50),GSE TEST OUTPUTS:CHANNEL-1 TEST OUTPUT-3,,,,,,
353,1,FALSE at J1/A3,at P3/A24,22.864,23.796,23.298845,mA,PASS
354,2,FALSE at J1/A3,at J2/C21,TRUE,TRUE,TRUE,DI,PASS
355,3,FALSE at J1/A3,at P3/A24,-0.1,0.1,0.000023,mA,PASS
356,4,FALSE at J1/A3,at J2/C21,FALSE,FALSE,FALSE,DI,PASS
357,5,TRUE at J1/A3,at P3/A24,-0.1,0.1,-0.000034,mA,PASS
358,6,TRUE at J1/A3,at J2/C21,TRUE,TRUE,TRUE,DI,PASS
359,7,TRUE at J1/A3,at P3/A24,-0.1,0.1,0.000024,mA,PASS
360,8,TRUE at J1/A3,at J2/C21,FALSE,FALSE,FALSE,DI,PASS
361,51),GSE TEST OUTPUTS:CHANNEL-2 TEST OUTPUT-3,,,,,,
363,1,FALSE at J1/A7,at P3/B24,22.864,23.796,23.282912,mA,PASS
364,2,FALSE at J1/A7,at J2/C22,TRUE,TRUE,TRUE,DI,PASS
365,3,FALSE at J1/A7,at P3/B24,-0.1,0.1,0.000023,mA,PASS
366,4,FALSE at J1/A7,at J2/C22,FALSE,FALSE,FALSE,DI,PASS
367,5,TRUE at J1/A7,at P3/B24,-0.1,0.1,0.000049,mA,PASS
368,6,TRUE at J1/A7,at J2/C22,TRUE,TRUE,TRUE,DI,PASS
369,7,TRUE at J1/A7,at P3/B24,-0.1,0.1,0.000023,mA,PASS
370,8,TRUE at J1/A7,at J2/C22,FALSE,FALSE,FALSE,DI,PASS
371,52),GSE TEST OUTPUTS:CHANNEL-3 TEST OUTPUT-3,,,,,,
374,1,FALSE at J1/A11,at P3/A29,22.864,23.796,23.309079,mA,PASS
375,2,FALSE at J1/A11,at J2/C23,TRUE,TRUE,TRUE,DI,PASS
376,3,FALSE at J1/A11,at P3/A29,-0.1,0.1,0.000021,mA,PASS
377,4,FALSE at J1/A11,at J2/C23,FALSE,FALSE,FALSE,DI,PASS
378,5,TRUE at J1/A11,at P3/A29,-0.1,0.1,0.000048,mA,PASS
379,6,TRUE at J1/A11,at J2/C23,TRUE,TRUE,TRUE,DI,PASS
380,7,TRUE at J1/A11,at P3/A29,-0.1,0.1,0.000023,mA,PASS
381,8,TRUE at J1/A11,at J2/C23,FALSE,FALSE,FALSE,DI,PASS
382,53),GSE TEST OUTPUTS:CHANNEL-4 TEST OUTPUT-3,,,,,,
384,1,FALSE at J1/A15,at P3/B29,22.864,23.796,23.313037,mA,PASS
385,2,FALSE at J1/A15,at J2/C24,TRUE,TRUE,TRUE,DI,PASS
386,3,FALSE at J1/A15,at P3/B29,-0.1,0.1,0.000022,mA,PASS
387,4,FALSE at J1/A15,at J2/C24,FALSE,FALSE,FALSE,DI,PASS
388,5,TRUE at J1/A15,at P3/B29,-0.1,0.1,0.000044,mA,PASS
389,6,TRUE at J1/A15,at J2/C24,TRUE,TRUE,TRUE,DI,PASS
390,7,TRUE at J1/A15,at P3/B29,-0.1,0.1,0.000026,mA,PASS
391,8,TRUE at J1/A15,at J2/C24,FALSE,FALSE,FALSE,DI,PASS
392,54),GSE TEST OUTPUTS:CHANNEL-1 TEST OUTPUT-4,,,,,,
394,1,FALSE at J1/A4,at P3/A25,22.864,23.796,23.287229,mA,PASS
395,2,FALSE at J1/A4,at J2/C25,TRUE,TRUE,TRUE,DI,PASS
396,3,FALSE at J1/A4,at P3/A25,-0.1,0.1,0.000023,mA,PASS
397,4,FALSE at J1/A4,at J2/C25,FALSE,FALSE,FALSE,DI,PASS
398,5,TRUE at J1/A4,at P3/A25,-0.1,0.1,0.000045,mA,PASS
399,6,TRUE at J1/A4,at J2/C25,TRUE,TRUE,TRUE,DI,PASS
400,7,TRUE at J1/A4,at P3/A25,-0.1,0.1,0.000023,mA,PASS
401,8,TRUE at J1/A4,at J2/C25,FALSE,FALSE,FALSE,DI,PASS
402,55),GSE TEST OUTPUTS:CHANNEL-2 TEST OUTPUT-4,,,,,,
404,1,FALSE at J1/A8,at P3/B25,22.864,23.796,23.30038,mA,PASS
405,2,FALSE at J1/A8,at J2/C26,TRUE,TRUE,TRUE,DI,PASS
406,3,FALSE at J1/A8,at P3/B25,-0.1,0.1,0.000021,mA,PASS
407,4,FALSE at J1/A8,at J2/C26,FALSE,FALSE,FALSE,DI,PASS
408,5,TRUE at J1/A8,at P3/B25,-0.1,0.1,0.000023,mA,PASS
409,6,TRUE at J1/A8,at J2/C26,TRUE,TRUE,TRUE,DI,PASS
410,7,TRUE at J1/A8,at P3/B25,-0.1,0.1,0.000024,mA,PASS
411,8,TRUE at J1/A8,at J2/C26,FALSE,FALSE,FALSE,DI,PASS
412,56),GSE TEST OUTPUTS:CHANNEL-3 TEST OUTPUT-4,,,,,,
415,1,FALSE at J1/A12,at P3/A30,22.864,23.796,23.297918,mA,PASS
416,2,FALSE at J1/A12,at J2/C27,TRUE,TRUE,TRUE,DI,PASS
417,3,FALSE at J1/A12,at P3/A30,-0.1,0.1,0.000022,mA,PASS
418,4,FALSE at J1/A12,at J2/C27,FALSE,FALSE,FALSE,DI,PASS
419,5,TRUE at J1/A12,at P3/A30,-0.1,0.1,-0.000021,mA,PASS
420,6,TRUE at J1/A12,at J2/C27,TRUE,TRUE,TRUE,DI,PASS
421,7,TRUE at J1/A12,at P3/A30,-0.1,0.1,0.000023,mA,PASS
422,8,TRUE at J1/A12,at J2/C27,FALSE,FALSE,FALSE,DI,PASS
423,57),GSE TEST OUTPUTS:CHANNEL-4 TEST OUTPUT-4,,,,,,
425,1,FALSE at J1/A16,at P3/B30,22.864,23.796,23.301055,mA,PASS
426,2,FALSE at J1/A16,at J2/C28,TRUE,TRUE,TRUE,DI,PASS
427,3,FALSE at J1/A16,at P3/B30,-0.1,0.1,0.000022,mA,PASS
428,4,FALSE at J1/A16,at J2/C28,FALSE,FALSE,FALSE,DI,PASS
429,5,TRUE at J1/A16,at P3/B30,-0.1,0.1,0.000044,mA,PASS
430,6,TRUE at J1/A16,at J2/C28,TRUE,TRUE,TRUE,DI,PASS
431,7,TRUE at J1/A16,at P3/B30,-0.1,0.1,0.000023,mA,PASS
432,8,TRUE at J1/A16,at J2/C28,FALSE,FALSE,FALSE,DI,PASS
433,58),GSE TEST DA-MON:CHANNEL-1 TEST DA-1,,,,,,
435,1,0V at P2/C2 and P2/C1,J3/A7&GND,-0.1,0.1,0.003313,Volts DC,PASS
436,2,9V at P2/C2 and P2/C1,J3/A7&GND,-8.262,-7.938,-8.097525,Volts DC,PASS
437,3,-9V at P2/C2 and P2/C1,J3/A7&GND,7.938,8.262,8.101505,Volts DC,PASS
438,59),GSE TEST DA-MON:CHANNEL-1 TEST DA-2,,,,,,
440,4,0V at P2/C1 and P2/C3,J3/A8&GND,-0.1,0.1,0.00235,Volts DC,PASS
441,5,9V at P2/C1 and P2/C3,J3/A8&GND,-8.262,-7.938,-8.100507,Volts DC,PASS
442,6,-9V at P2/C1 and P2/C3,J3/A8&GND,7.938,8.262,8.10479,Volts DC,PASS
443,60),GSE TEST DA-MON:CHANNEL-2 TEST DA-1,,,,,,
445,1,0V at P2/C5 and P2/C4,J3/A9&GND,-0.1,0.1,0.002162,Volts DC,PASS
446,2,9V at P2/C5 and P2/C4,J3/A9&GND,-8.262,-7.938,-8.10123,Volts DC,PASS
447,3,-9V at P2/C5 and P2/C4,J3/A9&GND,7.938,8.262,8.105415,Volts DC,PASS
448,61),GSE TEST DA-MON:CHANNEL-2 TEST DA-2,,,,,,
449,,,,LOWER,UPPER,MEASURED,,
450,,,,LIMIT,LIMIT,VALUE,,
451,4,0V at P2/C6 and P2/C4,J3/A10&GND,-0.1,0.1,0.002071,Volts DC,PASS
452,5,9V at P2/C6 and P2/C4,J3/A10&GND,-8.262,-7.938,-8.101795,Volts DC,PASS
453,6,-9V at P2/C6 and P2/C4,J3/A10&GND,7.938,8.262,8.105943,Volts DC,PASS
454,62),GSE TEST DA-MON:CHANNEL-3 TEST DA-1,,,,,,
456,1,0V at P2/C8 and P2/C7,J3/A11&GND,-0.1,0.1,0.00211,Volts DC,PASS
457,2,9V at P2/C8 and P2/C7,J3/A11&GND,-8.262,-7.938,-8.104379,Volts DC,PASS
458,3,-9V at P2/C8 and P2/C7,J3/A11&GND,7.938,8.262,8.108626,Volts DC,PASS
459,63),GSE TEST DA-MON:CHANNEL-3 TEST DA-2,,,,,,
462,4,0V at P2/C9 and P2/C7,J3/A12&GND,-0.1,0.1,0.002064,Volts DC,PASS
463,5,9V at P2/C9 and P2/C7,J3/A12&GND,-8.262,-7.938,-8.099089,Volts DC,PASS
464,6,-9V at P2/C9 and P2/C7,J3/A12&GND,7.938,8.262,8.103211,Volts DC,PASS
465,64),GSE TEST DA-MON:CHANNEL-4 TEST DA-1,,,,,,
467,1,0V at P2/C11 and P2/C10,J3/A13&GND,-0.1,0.1,0.002019,Volts DC,PASS
468,2,9V at P2/C11 and P2/C10,J3/A13&GND,-8.262,-7.938,-8.100948,Volts DC,PASS
469,3,-9V at P2/C11 and P2/C10,J3/A13&GND,7.938,8.262,8.105091,Volts DC,PASS
470,65),GSE TEST DA-MON:CHANNEL-4 TEST DA-2,,,,,,
472,4,0V at P2/C12 and P2/C10,J3/A14&GND,-0.1,0.1,0.002103,Volts DC,PASS
473,5,9V at P2/C12 and P2/C10,J3/A14&GND,-8.262,-7.938,-8.102482,Volts DC,PASS
474,6,-9V at P2/C12 and P2/C10,J3/A14&GND,7.938,8.262,8.106749,Volts DC,PASS
475,66),GSE DISCRETES:CHANNEL-1 MBIT,,,,,,
478,1,FALSE at J1/B13,P3/C7&P2/C25,OPEN,OPEN,OPEN,OHMS,PASS
479,2,FALSE at J1/B13,J1/C1&GND,TRUE,TRUE,TRUE,DI,PASS
480,3,TRUE at J1/B13,P3/C7&P2/C26,0,10,3.440996,OHMS,PASS
481,4,TRUE at J1/B13,J1/C1&GND,FALSE,FALSE,FALSE,DI,PASS
482,67),GSE DISCRETES:CHANNEL-2 MBIT,,,,,,
484,1,FALSE at J1/B14,P3/C14&P2/C27,OPEN,OPEN,OPEN,OHMS,PASS
485,2,FALSE at J1/B14,J1/C2&GND,TRUE,TRUE,TRUE,DI,PASS
486,3,TRUE at J1/B14,P3/C14&P2/C28,0,10,3.457657,OHMS,PASS
487,4,TRUE at J1/B14,J1/C2&GND,FALSE,FALSE,FALSE,DI,PASS
491,1,FALSE at J1/B15,P3/C18&P2/C29,OPEN,OPEN,OPEN,OHMS,PASS
492,2,FALSE at J1/B15,J1/C3&GND,TRUE,TRUE,TRUE,DI,PASS
493,3,TRUE at J1/B15,P3/C18&P2/C30,0,10,3.545523,OHMS,PASS
494,4,TRUE at J1/B15,J1/C3&GND,FALSE,FALSE,FALSE,DI,PASS
495,69),GSE DISCRETES:CHANNEL-4 MBIT,,,,,,
497,1,FALSE at J1/B16,P3/C31&P2/C31,OPEN,OPEN,OPEN,OHMS,PASS
498,2,FALSE at J1/B16,J1/C4&GND,TRUE,TRUE,TRUE,DI,PASS
499,3,TRUE at J1/B16,P3/C31&P2/C32,0,10,3.903929,OHMS,PASS
500,4,TRUE at J1/B16,J1/C4&GND,FALSE,FALSE,FALSE,DI,PASS
501,70),FTI DISCRETES:CHANNEL-1 FTI FCS FAIL MON,,,,,,
503,1,OPEN at P3/C28,J2/C1&GND,FALSE,FALSE,FALSE,DI,PASS
504,2,0V at  P3/C28,J2/C1&GND,TRUE,TRUE,TRUE,DI,PASS
505,3,5V at  P3/C28,J2/C1&GND,FALSE,FALSE,FALSE,DI,PASS
506,71),FTI DISCRETES:CHANNEL-1 FTI  DBU ENG MON,,,,,,
508,1,OPEN at P3/C16,J2/C2&GND,FALSE,FALSE,FALSE,DI,PASS
509,2,0V at  P3/C16,J2/C2&GND,TRUE,TRUE,TRUE,DI,PASS
510,3,5V at  P3/C16,J2/C2&GND,FALSE,FALSE,FALSE,DI,PASS
511,72),FTI DISCRETES:CHANNEL-1 FTI RWOW MON,,,,,,
513,1,OPEN at P3/C20,J2/C3&GND,FALSE,FALSE,FALSE,DI,PASS
514,2,0V at  P3/C20,J2/C3&GND,TRUE,TRUE,TRUE,DI,PASS
515,3,5V at  P3/C20,J2/C3&GND,FALSE,FALSE,FALSE,DI,PASS
516,73),FTI DISCRETES:CHANNEL-1 FTI NWOW MON,,,,,,
519,1,OPEN at P3/C29,J2/C4&GND,FALSE,FALSE,FALSE,DI,PASS
520,2,0V at  P3/C29,J2/C4&GND,TRUE,TRUE,TRUE,DI,PASS
521,3,5V at  P3/C29,J2/C4&GND,FALSE,FALSE,FALSE,DI,PASS
522,74),FTI DISCRETES:CHANNEL-2 FTI ABPOS MON,,,,,,
524,1,OPEN at P3/C17,J2/C5&GND,FALSE,FALSE,FALSE,DI,PASS
525,2,0V at  P3/C17,J2/C5&GND,TRUE,TRUE,TRUE,DI,PASS
526,3,5V at  P3/C17,J2/C5&GND,FALSE,FALSE,FALSE,DI,PASS
527,75),FTI DISCRETES:CHANNEL-2 FTI APENG MON,,,,,,
529,1,OPEN at P3/C21,J2/C6&GND,FALSE,FALSE,FALSE,DI,PASS
530,2,0V at  P3/C21,J2/C6&GND,TRUE,TRUE,TRUE,DI,PASS
531,3,5V at  P3/C21,J2/C6&GND,FALSE,FALSE,FALSE,DI,PASS
532,76),FTI DISCRETES:CHANNEL-2 FTI LWOW MON,,,,,,
534,1,OPEN at P3/C30,J2/C7&GND,FALSE,FALSE,FALSE,DI,PASS
535,2,0V at  P3/C30,J2/C7&GND,TRUE,TRUE,TRUE,DI,PASS
536,3,5V at  P3/C30,J2/C7&GND,FALSE,FALSE,FALSE,DI,PASS
537,77),FTI DISCRETES:CHANNEL-2 SPARE1,,,,,,
539,SL NO.,INPUT POINT,OUTPUT POINT,LIMIT,LIMIT,VALUE,UNITS,RESULT
540,1,OPEN at P2/B29,J2/C29&GND,FALSE,FALSE,FALSE,DI,PASS
541,2,0V at  P2/B29,J2/C29&GND,TRUE,TRUE,TRUE,DI,PASS
542,3,5V at  P2/B29,J2/C29&GND,FALSE,FALSE,FALSE,DI,PASS
543,78),FTI DISCRETES:CHANNEL-2 SPARE2,,,,,,
545,1,OPEN at P2/B30,J2/C30&GND,FALSE,FALSE,FALSE,DI,PASS
546,2,0V at  P2/B30,J2/C30&GND,TRUE,TRUE,TRUE,DI,PASS
547,3,5V at  P2/B30,J2/C30&GND,FALSE,FALSE,FALSE,DI,PASS
548,79),FTI DFCC HEALTH:CHANNEL-1,,,,,,
550,1,FALSE at  J1/B9,at P2/C21,22.864,23.796,23.283194,mA,PASS
551,2,FALSE at  J1/B9,at J2/C8,TRUE,TRUE,TRUE,DI,PASS
552,3,FALSE at  J1/B9,at P2/C21,-0.1,0.1,0.000026,mA,PASS
553,4,FALSE at  J1/B9,at J2/C8,FALSE,FALSE,FALSE,DI,PASS
554,5,TRUE at  J1/B9,at P2/C21,-0.1,0.1,0.000019,mA,PASS
555,6,TRUE at  J1/B9,at J2/C8,TRUE,TRUE,TRUE,DI,PASS
556,7,TRUE at  J1/B9,at P2/C21,-0.1,0.1,0.000022,mA,PASS
557,8,TRUE at  J1/B9,at J2/C8,FALSE,FALSE,FALSE,DI,PASS
558,80),FTI DFCC HEALTH:CHANNEL-2,,,,,,
560,1,FALSE at  J1/B10,at P2/C22,22.864,23.796,23.303704,mA,PASS
561,2,FALSE at  J1/B10,at J2/C9,TRUE,TRUE,TRUE,DI,PASS
562,3,FALSE at  J1/B10,at P2/C22,-0.1,0.1,0.000021,mA,PASS
563,4,FALSE at  J1/B10,at J2/C9,FALSE,FALSE,FALSE,DI,PASS
564,5,TRUE at  J1/B10,at P2/C22,-0.1,0.1,0.000033,mA,PASS
565,6,TRUE at  J1/B10,at J2/C9,TRUE,TRUE,TRUE,DI,PASS
566,7,TRUE at  J1/B10,at P2/C22,-0.1,0.1,0.000023,mA,PASS
567,8,TRUE at  J1/B10,at J2/C9,FALSE,FALSE,FALSE,DI,PASS
568,81),FTI DFCC HEALTH:CHANNEL-3,,,,,,
570,1,FALSE at  J1/B11,at P2/C23,22.864,23.796,23.302077,mA,PASS
571,2,FALSE at  J1/B11,at J2/C10,TRUE,TRUE,TRUE,DI,PASS
572,3,FALSE at  J1/B11,at P2/C23,-0.1,0.1,0.000019,mA,PASS
573,4,FALSE at  J1/B11,at J2/C10,FALSE,FALSE,FALSE,DI,PASS
574,5,TRUE at  J1/B11,at P2/C23,-0.1,0.1,-0.000029,mA,PASS
575,6,TRUE at  J1/B11,at J2/C10,TRUE,TRUE,TRUE,DI,PASS
576,7,TRUE at  J1/B11,at P2/C23,-0.1,0.1,0.000022,mA,PASS
577,8,TRUE at  J1/B11,at J2/C10,FALSE,FALSE,FALSE,DI,PASS
578,82),FTI DFCC HEALTH:CHANNEL-4,,,,,,
580,1,FALSE at  J1/B12,at P2/C24,22.864,23.796,23.288879,mA,PASS
581,2,FALSE at  J1/B12,at J2/C11,TRUE,TRUE,TRUE,DI,PASS
582,3,FALSE at  J1/B12,at P2/C24,-0.1,0.1,0.000023,mA,PASS
583,4,FALSE at  J1/B12,at J2/C11,FALSE,FALSE,FALSE,DI,PASS
584,5,TRUE at  J1/B12,at P2/C24,-0.1,0.1,0.000042,mA,PASS
585,6,TRUE at  J1/B12,at J2/C11,TRUE,TRUE,TRUE,DI,PASS
586,7,TRUE at  J1/B12,at P2/C24,-0.1,0.1,0.000023,mA,PASS
587,8,TRUE at  J1/B12,at J2/C11,FALSE,FALSE,FALSE,DI,PASS
588,83),FTI MONITORS:CHANNEL-1 FTI STKROL MON,,,,,,
590,1,0V at  P3/C2 and P3/C1,J3/A19&GND,-0.1,0.1,0.006212,Volts DC,PASS
591,2,5V at  P3/C2 and P3/C1,J3/A19&GND,8.82,9.18,8.99693,Volts DC,PASS
592,3,-5V at  P3/C2 and P3/C1,J3/A19&GND,-9.18,-8.82,-8.99273,Volts DC,PASS
593,84),FTI MONITORS:CHANNEL-1 FTI RPPOS MON,,,,,,
595,1,0V at  P3/C23 and P3/C1,J3/A20&GND,-0.1,0.1,0.005302,Volts DC,PASS
596,2,5V at  P3/C23 and P3/C1,J3/A20&GND,8.82,9.18,8.991002,Volts DC,PASS
597,3,-5V at  P3/C23 and P3/C1,J3/A20&GND,-9.18,-8.82,-8.99034,Volts DC,PASS
598,85),FTI MONITORS:CHANNEL-1 FTI LOE POS MON,,,,,,
600,1,0V at  P3/C3 and P3/C1,J3/A21&GND,-0.1,0.1,0.005114,Volts DC,PASS
601,2,5V at  P3/C3 and P3/C1,J3/A21&GND,8.82,9.18,8.993445,Volts DC,PASS
602,3,-5V at  P3/C3 and P3/C1,J3/A21&GND,-9.18,-8.82,-8.98963,Volts DC,PASS
603,86),FTI MONITORS:CHANNEL-1 FTI ROE POS MON,,,,,,
605,1,0V at  P3/C24 and P3/C1,J3/A22&GND,-0.1,0.1,0.00512,Volts DC,PASS
606,2,5V at  P3/C24 and P3/C1,J3/A22&GND,8.82,9.18,8.991534,Volts DC,PASS
607,3,-5V at  P3/C24 and P3/C1,J3/A22&GND,-9.18,-8.82,-8.992428,Volts DC,PASS
608,87),FTI MONITORS:CHANNEL-1 FTI NOR ACCLN  MON,,,,,,
610,1,0V at  P3/C25 and P3/C1,J3/A23&GND,-0.1,0.1,0.005395,Volts DC,PASS
611,2,5V at  P3/C25 and P3/C1,J3/A23&GND,8.82,9.18,8.999763,Volts DC,PASS
612,3,-5V at  P3/C25 and P3/C1,J3/A23&GND,-9.18,-8.82,-8.995977,Volts DC,PASS
613,88),FTI MONITORS:CHANNEL-1 FTI LAOA MON,,,,,,
615,1,0V at  P3/C12 and P3/C1,J3/A24&GND,-0.1,0.1,0.005313,Volts DC,PASS
616,2,5V at  P3/C12 and P3/C1,J3/A24&GND,8.82,9.18,8.99729,Volts DC,PASS
617,3,-5V at  P3/C12 and P3/C1,J3/A24&GND,-9.18,-8.82,-8.993874,Volts DC,PASS
618,89),FTI MONITORS:CHANNEL-1 FTI STA PRS MON,,,,,,
620,1,0V at  P3/C6 and P3/C1,J3/A25&GND,-0.1,0.1,0.005018,Volts DC,PASS
621,2,5V at  P3/C6 and P3/C1,J3/A25&GND,8.82,9.18,8.996365,Volts DC,PASS
622,3,-5V at  P3/C6 and P3/C1,J3/A25&GND,-9.18,-8.82,-8.992289,Volts DC,PASS
623,90),FTI MONITORS:CHANNEL-1 FTI DYN PRS MON,,,,,,
625,1,0V at  P3/C13 and P3/C1,J3/A26&GND,-0.1,0.1,0.005033,Volts DC,PASS
626,2,5V at  P3/C13 and P3/C1,J3/A26&GND,8.82,9.18,8.993768,Volts DC,PASS
627,3,-5V at  P3/C13 and P3/C1,J3/A26&GND,-9.18,-8.82,-8.990342,Volts DC,PASS
628,91),FTI MONITORS:CHANNEL-1 FTI TOT TEMP MON,,,,,,
631,1,0V at  P3/C22 and P3/C1,J3/B4&GND,-0.1,0.1,0.00493,Volts DC,PASS
632,2,5V at  P3/C22 and P3/C1,J3/B4&GND,8.82,9.18,8.996206,Volts DC,PASS
633,3,-5V at  P3/C22 and P3/C1,J3/B4&GND,-9.18,-8.82,-8.992286,Volts DC,PASS
634,92),FTI MONITORS:CHANNEL-1 FTI RAB POS MON,,,,,,
636,1,0V at  P2/C13 and P3/C1,J3/B5&GND,-0.1,0.1,0.004999,Volts DC,PASS
637,2,5V at  P2/C13 and P3/C1,J3/B5&GND,8.82,9.18,8.996619,Volts DC,PASS
638,3,-5V at  P2/C13 and P3/C1,J3/B5&GND,-9.18,-8.82,-8.992886,Volts DC,PASS
639,93),FTI MONITORS:CHANNEL-1 FTI PIT RATE MON,,,,,,
642,1,0V at  P2/C14 and P3/C1,J3/B6&GND,-0.1,0.1,0.005052,Volts DC,PASS
643,2,5V at  P2/C14 and P3/C1,J3/B6&GND,8.82,9.18,8.997686,Volts DC,PASS
644,3,-5V at  P2/C14 and P3/C1,J3/B6&GND,-9.18,-8.82,-8.993591,Volts DC,PASS
645,94),FTI MONITORS:CHANNEL-1 FTI YAW RATE MON,,,,,,
647,1,0V at  P2/C15 and P3/C1,J3/B7&GND,-0.1,0.1,0.005021,Volts DC,PASS
648,2,5V at  P2/C15 and P3/C1,J3/B7&GND,8.82,9.18,8.996152,Volts DC,PASS
649,3,-5V at  P2/C15 and P3/C1,J3/B7&GND,-9.18,-8.82,-8.991885,Volts DC,PASS
650,95),FTI MONITORS:CHANNEL-2 FTI LAT ACCLN MON,,,,,,
652,1,0V at  P3/C5 and P3/C8,J3/A29&GND,-0.1,0.1,0.00382,Volts DC,PASS
653,2,5V at  P3/C5 and P3/C8,J3/A29&GND,8.82,9.18,9.000094,Volts DC,PASS
654,3,-5V at  P3/C5 and P3/C8,J3/A29&GND,-9.18,-8.82,-8.996054,Volts DC,PASS
655,96),FTI MONITORS:CHANNEL-2 FTI RUD POS MON,,,,,,
658,1,0V at  P3/C11 and P3/C8,J3/A28&GND,-0.1,0.1,0.00489,Volts DC,PASS
659,2,5V at  P3/C11 and P3/C8,J3/A28&GND,8.82,9.18,8.998559,Volts DC,PASS
660,3,-5V at  P3/C11 and P3/C8,J3/A28&GND,-9.18,-8.82,-8.994312,Volts DC,PASS
661,97),FTI MONITORS:CHANNEL-2 FTI STK PIT MON,,,,,,
663,1,0V at  P3/C9 and P3/C8,J3/A30&GND,-0.1,0.1,0.00487,Volts DC,PASS
664,2,5V at  P3/C9 and P3/C8,J3/A30&GND,8.82,9.18,9.001271,Volts DC,PASS
665,3,-5V at  P3/C9 and P3/C8,J3/A30&GND,-9.18,-8.82,-8.997266,Volts DC,PASS
666,98),FTI MONITORS:CHANNEL-2 FTI RIE POS MON,,,,,,
668,1,0V at  P3/C4 and P3/C8,J3/B2&GND,-0.1,0.1,0.004993,Volts DC,PASS
669,2,5V at  P3/C4 and P3/C8,J3/B2&GND,8.82,9.18,9.002636,Volts DC,PASS
670,3,-5V at  P3/C4 and P3/C8,J3/B2&GND,-9.18,-8.82,-8.998374,Volts DC,PASS
671,99),FTI MONITORS:CHANNEL-2 FTI LIE POS MON,,,,,,
674,1,0V at  P3/C10 and P3/C8,J3/B1&GND,-0.1,0.1,0.005016,Volts DC,PASS
675,2,5V at  P3/C10 and P3/C8,J3/B1&GND,8.82,9.18,8.99832,Volts DC,PASS
676,3,-5V at  P3/C10 and P3/C8,J3/B1&GND,-9.18,-8.82,-8.993884,Volts DC,PASS
677,100),FTI MONITORS:CHANNEL-2 FTI RAOA/RAOSS MON,,,,,,
679,1,0V at  P3/C26 and P3/C8,J3/B3&GND,-0.1,0.1,0.005094,Volts DC,PASS
680,2,5V at  P3/C26 and P3/C8,J3/B3&GND,8.82,9.18,8.997,Volts DC,PASS
681,3,-5V at  P2/C26 and P3/C8,J3/B3&GND,-9.18,-8.82,-8.992957,Volts DC,PASS
682,101),FTI MONITORS:CHANNEL-2 FTI LAB POS MON,,,,,,
684,1,0V at  P2/C17 and P3/C8,J3/B8&GND,-0.1,0.1,0.004986,Volts DC,PASS
685,2,5V at  P2/C17 and P3/C8,J3/B8&GND,8.82,9.18,8.998634,Volts DC,PASS
686,3,-5V at  P3/C17 and P3/C8,J3/B8&GND,-9.18,-8.82,-8.994375,Volts DC,PASS
687,102),FTI MONITORS:CHANNEL-2 FTI ASA LON MON,,,,,,
690,1,0V at  P3/C27 and P3/C8,J3/A27&GND,-0.1,0.1,0.004992,Volts DC,PASS
691,2,5V at  P3/C27 and P3/C8,J3/A27&GND,8.82,9.18,8.996556,Volts DC,PASS
692,3,-5V at  P3/C27 and P3/C8,J3/A27&GND,-9.18,-8.82,-8.992263,Volts DC,PASS
693,103),FTI MONITORS:CHANNEL-2 FTI ROL RATE MON,,,,,,
695,1,0V at  P2/C18 and P3/C8,J3/B30&GND,-0.1,0.1,0.005012,Volts DC,PASS
696,2,5V at  P2/C18 and P3/C8,J3/B30&GND,8.82,9.18,9.000153,Volts DC,PASS
697,3,-5V at  P2/C18 and P3/C8,J3/B30&GND,-9.18,-8.82,-8.995836,Volts DC,PASS
